id,title,year,tier,software_detected,method_candidates_sw,method_candidates_kw,datatype_candidates,taxon_candidates,context_candidates,ResearchTask_labels,Method_labels,Software_labels,Taxon_labels,DataType_labels,Context_labels,Assumption_labels
https://openalex.org/W3004584205,Patterns of somatic structural variation in human cancer genomes,2020,tier2,STRUCTURE,,,Nuclear Gene Sequences|Occurrence / Distribution Records|Whole Genome Sequence,,,,,STRUCTURE,,Whole Genome Sequence|Nuclear Gene Sequences,,
https://openalex.org/W4319068304,Human-specific genetics: new tools to explore the molecular and cellular basis of human evolution,2023,tier1,,,,,Mammalia,,,,,Mammalia,,,
https://openalex.org/W3039975896,Undinarchaeota illuminate DPANN phylogeny and the impact of gene transfer on archaeal evolution,2020,tier1,,,,,,,Phylogeny Inference|Gene Flow Analysis,,,,,,Gene Flow Allowed
https://openalex.org/W3147222942,Temporal dynamics of SARS-CoV-2 mutation accumulation within and across infected hosts,2021,tier1,,,Bayesian Inference,,,,Adaptation Inference,Bayesian Inference,,,,,
https://openalex.org/W4387823059,Genomics for monitoring and understanding species responses to global climate change,2023,tier2,,,,Ecological / Environmental Variables|Occurrence / Distribution Records,,,Adaptation Inference,,,,Ecological / Environmental Variables|Occurrence / Distribution Records,,
https://openalex.org/W3035842044,Lineage dynamics of the endosymbiotic cell type in the soft coral Xenia,2020,tier2,,,,Ecological / Environmental Variables,,Marine Environment,,,,,Ecological / Environmental Variables,Marine Environment,
https://openalex.org/W3087081867,A Field Guide to Eukaryotic Transposable Elements,2020,tier1,,,,Behavioral Data|Ecological / Environmental Variables,,,,,,,Behavioral Data|Ecological / Environmental Variables,,
https://openalex.org/W3152442338,Extensive microbial diversity within the chicken gut microbiome revealed by metagenomics and culture,2021,tier2,,,,,,,,,,,,,
https://openalex.org/W4385945347,The specious art of single-cell genomics,2023,tier2,,,,,,,,,,,,,
https://openalex.org/W4210886322,"Plant GATA Factors: Their Biology, Phylogeny, and Phylogenomics",2022,tier2,,,,,Angiosperms|Plants,,Phylogeny Inference,,,Angiosperms|Plants,,,
https://openalex.org/W3041043209,Towards the completion of speciation: the evolution of reproductive isolation beyond the first barriers,2020,tier2,,,,,,,Speciation,,,,,,Gene Flow Allowed
https://openalex.org/W3080458156,Host selection shapes crop microbiome assembly and network complexity,2020,tier2,,,,,Plants,,Gene Flow Analysis,,,Plants,,,
https://openalex.org/W3013655101,Ghost Introgression: Spooky Gene Flow in the Distant Past,2020,tier1,,,,Fossil Record|Morphometric Data,,,Hybridization / Introgression Detection,,,,Fossil Record|Morphometric Data,,Gene Flow Allowed
https://openalex.org/W4307336954,Polyploidy: its consequences and enabling role in plant diversification and evolution,2022,tier1,,,,Ecological / Environmental Variables|Transcriptome (RNA-seq)|Whole Genome Sequence,Angiosperms|Plants,,Comparative Methods,,,Angiosperms|Plants,Ecological / Environmental Variables|Transcriptome (RNA-seq)|Whole Genome Sequence,,Gene Flow Allowed
https://openalex.org/W3213067154,Origins and evolution of extreme life span in Pacific Ocean rockfishes,2021,tier1,,,,,Teleost Fish,Marine Environment,Adaptation Inference,,,Teleost Fish,,Marine Environment,
https://openalex.org/W3135409471,"Genomic Characterization of a Novel SARS-CoV-2 Lineage from Rio de Janeiro, Brazil",2021,tier1,,,,,,,Phylogeny Inference,,,,,,
https://openalex.org/W3163112933,Incorporating the speciation process into species delimitation,2021,tier1,STRUCTURE,,Coalescent-based Model,,,,Species Delimitation,Coalescent-based Model,,,,,Gene Flow Allowed|Incomplete Lineage Sorting Considered
https://openalex.org/W4200602261,"Whole-Genome Resequencing of Worldwide Wild and Domestic Sheep Elucidates Genetic Diversity, Introgression, and Agronomically Important Loci",2021,tier2,,,,Whole Genome Sequence,,Mainland Systems,Adaptation Inference,,,,Whole Genome Sequence,Mainland Systems,Gene Flow Allowed
https://openalex.org/W3039323082,Genomic analysis of the domestication and post-Spanish conquest evolution of the llama and alpaca,2020,tier1,,,,Transcriptome (RNA-seq)|Whole Genome Sequence,,High-altitude Environment,Hybridization / Introgression Detection,,,,Transcriptome (RNA-seq)|Whole Genome Sequence,High-altitude Environment,Gene Flow Allowed
https://openalex.org/W3157163834,Genetic impacts on DNA methylation: research findings and future perspectives,2021,tier1,,,,Whole Genome Sequence,,,,,,,Whole Genome Sequence,,
https://openalex.org/W3182097799,The crucial role of genome-wide genetic variation in conservation,2021,tier2,,,Simulation-based Inference,Ecological / Environmental Variables|Whole Genome Sequence,,,,Simulation-based Inference,,,Ecological / Environmental Variables|Whole Genome Sequence,,
https://openalex.org/W3134064557,Deleterious mutation accumulation and the long-term fate of chromosomal inversions,2021,tier2,,,Simulation-based Inference,,,,Adaptation Inference,Simulation-based Inference,,,,,
https://openalex.org/W3009980214,What is ancestry?,2020,tier1,STRUCTURE,,,,,,,,STRUCTURE,,,,
https://openalex.org/W3033913804,Earth microbial co-occurrence network reveals interconnection pattern across microbiomes,2020,tier2,STRUCTURE,,,Ecological / Environmental Variables|Morphometric Data|Occurrence / Distribution Records,Plants,,Gene Flow Analysis,,STRUCTURE,Plants,Ecological / Environmental Variables|Occurrence / Distribution Records|Morphometric Data,,
https://openalex.org/W3015444032,Phylogenetic network analysis of SARS-CoV-2 genomes,2020,tier1,,,Network Phylogenetics,,,,Phylogeny Inference,Network Phylogenetics,,,,,
https://openalex.org/W4367173724,A genomic timescale for placental mammal evolution,2023,tier1,,,Bayesian Inference|Coalescent-based Model,Whole Genome Sequence,Mammalia,Mainland Systems,Phylogeny Inference|Divergence Time Estimation,Bayesian Inference|Coalescent-based Model,,Mammalia,Whole Genome Sequence,Mainland Systems,
https://openalex.org/W3111726075,Identification and Characterization of 33 Bacillus cereus sensu lato Isolates from Agricultural Fields from Eleven Widely Distributed Countries by Whole Genome Sequencing,2020,tier2,,,,Ecological / Environmental Variables|Whole Genome Sequence,,,Phylogeny Inference,,,,Whole Genome Sequence|Ecological / Environmental Variables,,
https://openalex.org/W3008570337,Understanding the human antibody repertoire,2020,tier1,STRUCTURE,,,,,,Evolutionary biology,,STRUCTURE,,,,
https://openalex.org/W3011141248,Comparing the Performance of Microsatellites and RADseq in Population Genetic Studies: Analysis of Data for Pike (Esox lucius) and a Synthesis of Previous Studies,2020,tier1,STRUCTURE,,,"Ecological / Environmental Variables|Reduced Representation (RADseq, GBS)|SNP Genotype Data",,,Population Structure Analysis|Adaptation Inference,,STRUCTURE,,"Reduced Representation (RADseq, GBS)|SNP Genotype Data|Ecological / Environmental Variables",,Gene Flow Allowed
https://openalex.org/W4297888171,EukProt: A database of genome-scale predicted proteins across the diversity of eukaryotes,2022,tier2,,,,,,,Phylogeny Inference|Trait Evolution Analysis,,,,,,
https://openalex.org/W3033825041,Analysis of 1321 Eubacterium rectale genomes from metagenomes uncovers complex phylogeographic population structure and subspecies functional adaptations,2020,tier1,STRUCTURE,,,Whole Genome Sequence,Mammalia,Island Systems,Population Structure Analysis|Biogeography,,STRUCTURE,Mammalia,Whole Genome Sequence,Island Systems,
https://openalex.org/W4312093588,The molecular evolution of spermatogenesis across mammals,2022,tier2,,,,Transcriptome (RNA-seq),Aves|Mammalia,,Trait Evolution Analysis|Selection Detection,,,Mammalia|Aves,Transcriptome (RNA-seq),,
https://openalex.org/W3163053647,Phylogenomic Subsampling and the Search for Phylogenetically Reliable Loci,2021,tier2,,,,Behavioral Data|Occurrence / Distribution Records,Plants,,Phylogeny Inference|Comparative Methods|Phylogenetic Comparative Methods (PCM),,,Plants,Occurrence / Distribution Records|Behavioral Data,,
https://openalex.org/W3109790889,Selection enhances protein evolvability by increasing mutational robustness and foldability,2020,tier2,,,,,,,Adaptation Inference,,,,,,Selection Model
https://openalex.org/W3210280275,"Microchromosomes are building blocks of bird, reptile, and mammal chromosomes",2021,tier1,,,,,Aves|Invertebrates|Mammalia|Reptilia|Vertebrates,,Phylogeny Inference,,,Aves|Reptilia|Mammalia|Invertebrates|Vertebrates,,,
https://openalex.org/W3042698870,Assembly of the threespine stickleback Y chromosome reveals convergent signatures of sex chromosome evolution,2020,tier2,,,,Transcriptome (RNA-seq),,,,,,,Transcriptome (RNA-seq),,No Recombination
https://openalex.org/W3029105628,Deep Roots and Splendid Boughs of the Global Plant Virome,2020,tier1,,,,,Invertebrates|Plants,,,,,Plants|Invertebrates,,,
https://openalex.org/W3097658527,"Many, but not all, lineage-specific genes can be explained by homology detection failure",2020,tier1,,,,,Insects,,,,,Insects,,,
https://openalex.org/W4220762623,Taming transposable elements in vertebrates: from epigenetic silencing to domestication,2022,tier1,,,,Transcriptome (RNA-seq),Vertebrates,,Adaptation Inference,,,Vertebrates,Transcriptome (RNA-seq),,
https://openalex.org/W3044927940,Khoe-San Genomes Reveal Unique Variation and Confirm the Deepest Population Divergence in Homo sapiens,2020,tier1,ADMIXTURE,,,Whole Genome Sequence,,,Demographic History Inference|Selection Detection,,ADMIXTURE,,Whole Genome Sequence,,
https://openalex.org/W3086997270,Genus-Wide Characterization of Bumblebee Genomes Provides Insights into Their Evolution and Variation in Ecological and Behavioral Traits,2020,tier1,,,dN/dS Analysis,Behavioral Data|Ecological / Environmental Variables,,,Phylogeny Inference|Trait Evolution Analysis|Selection Detection,dN/dS Analysis,,,Behavioral Data|Ecological / Environmental Variables,,Incomplete Lineage Sorting Considered|Selection Model
https://openalex.org/W3019171991,Extensive Ethnolinguistic Diversity in Vietnam Reflects Multiple Sources of Genetic Diversity,2020,tier1,,,,Whole Genome Sequence,,Mainland Systems,Population Structure Analysis,,,,Whole Genome Sequence,Mainland Systems,
https://openalex.org/W3010528608,Sources of epigenetic variation and their applications in natural populations,2020,tier2,,,,Ecological / Environmental Variables|SNP Genotype Data|Transcriptome (RNA-seq),,,,,,,Ecological / Environmental Variables|SNP Genotype Data|Transcriptome (RNA-seq),,
https://openalex.org/W3125528398,Giant lungfish genome elucidates the conquest of land by vertebrates,2021,tier1,,,,Transcriptome (RNA-seq),Teleost Fish|Vertebrates,,Phylogeny Inference,,,Teleost Fish|Vertebrates,Transcriptome (RNA-seq),,
https://openalex.org/W3119409956,"Morphological approaches in studying fungi: collection, examination, isolation, sporulation and preservation",2020,tier2,,,,SNP Genotype Data,,,,,,,SNP Genotype Data,,
https://openalex.org/W3007669493,Exploration of Plastid Phylogenomic Conflict Yields New Insights into the Deep Relationships of Leguminosae,2020,tier1,,,Maximum Likelihood,,Angiosperms,,Phylogeny Inference,Maximum Likelihood,,Angiosperms,,,
https://openalex.org/W3004860286,A multigene phylogeny and timeline for Trichoptera (Insecta),2020,tier2,BEAST,Bayesian Inference,Maximum Likelihood|Bayesian Inference,Fossil Record|Nuclear Gene Sequences,,,Phylogeny Inference|Divergence Time Estimation,Bayesian Inference|Maximum Likelihood|Birth–Death Model,BEAST,,Nuclear Gene Sequences|Fossil Record,,Relaxed Clock|Molecular Clock
https://openalex.org/W4295078843,GENESPACE tracks regions of interest and gene copy number variation across multiple genomes,2022,tier2,STRUCTURE,,,Occurrence / Distribution Records,Plants|Vertebrates,,Comparative Methods,,STRUCTURE,Vertebrates|Plants,Occurrence / Distribution Records,,
https://openalex.org/W3139353203,"Glucocorticoids, the evolution of the stress-response, and the primate predicament",2021,tier1,,,,,Aves|Mammalia|Reptilia|Teleost Fish|Vertebrates,,Trait Evolution Analysis,,,Vertebrates|Mammalia|Aves|Reptilia|Teleost Fish,,,
https://openalex.org/W4378977815,Phylogenomic analyses provide insights into primate evolution,2023,tier1,,,dN/dS Analysis,,Mammalia,,Phylogeny Inference|Adaptation Inference|Selection Detection,dN/dS Analysis,,Mammalia,,,Selection Model
https://openalex.org/W3174638824,Long Reads Are Revolutionizing 20 Years of Insect Genome Sequencing,2021,tier1,,,,Transcriptome (RNA-seq),Drosophila|Insects|Model Organisms,,Comparative Methods,,,Insects|Drosophila|Model Organisms,Transcriptome (RNA-seq),,
https://openalex.org/W3047720445,The study of host–microbiome (co)evolution across levels of selection,2020,tier1,,,,SNP Genotype Data,,,Comparative Methods|Adaptation Inference,,,,SNP Genotype Data,,
https://openalex.org/W3128734195,"Phylotranscriptomic insights into Asteraceae diversity, polyploidy, and morphological innovation",2021,tier1,,,,Ecological / Environmental Variables,Plants,,Phylogeny Inference|Trait Evolution Analysis|Divergence Time Estimation,,,Plants|Angiosperms,Ecological / Environmental Variables|Transcriptome (RNA-seq)|Whole Genome Sequence,,
https://openalex.org/W3021936614,New Methods to Calculate Concordance Factors for Phylogenomic Datasets,2020,tier1,IQ-TREE,Maximum Likelihood,,,,,Phylogeny Inference,Maximum Likelihood,IQ-TREE,,,,
https://openalex.org/W3015749488,The Scaly-foot Snail genome and implications for the origins of biomineralised armour,2020,tier1,,,,Fossil Record|Occurrence / Distribution Records|Transcriptome (RNA-seq)|Whole Genome Sequence,,,Adaptation Inference|Trait Evolution Analysis,,,,Whole Genome Sequence|Transcriptome (RNA-seq)|Fossil Record|Occurrence / Distribution Records,,
https://openalex.org/W4229040376,Evolution of the human pathogenic lifestyle in fungi,2022,tier2,,,,,,,Adaptation Inference,,,,,,
https://openalex.org/W3027489835,The ‘biomineralization toolkit’ and the origin of animal skeletons,2020,tier1,,,Phylogenetic Comparative Methods (PCM),Fossil Record,,,Trait Evolution Analysis|Phylogeny Inference,Phylogenetic Comparative Methods (PCM),,,Fossil Record,,
https://openalex.org/W3084471312,Transposable Elements and the Evolution of Insects,2020,tier1,,,,,Insects,,Trait Evolution Analysis,,,Insects,,,
https://openalex.org/W4388772500,Bacterial genome size and gene functional diversity negatively correlate with taxonomic diversity along a pH gradient,2023,tier2,,,,Ecological / Environmental Variables,,Temperate Region|Tropical Region,,,,,Ecological / Environmental Variables,Tropical Region|Temperate Region,
https://openalex.org/W4399121795,The complete sequence and comparative analysis of ape sex chromosomes,2024,tier2,,,dN/dS Analysis,Behavioral Data,,,Phylogeny Inference,dN/dS Analysis,,,Behavioral Data,,Selection Model
https://openalex.org/W3042071345,The importance of intrinsic postzygotic barriers throughout the speciation process,2020,tier2,,,,,,,Species Delimitation,,,,,,Gene Flow Allowed
https://openalex.org/W3173519049,"Roseobacters in a Sea of Poly- and Paraphyly: Whole Genome-Based Taxonomy of the Family Rhodobacteraceae and the Proposal for the Split of the “Roseobacter Clade” Into a Novel Family, Roseobacteraceae fam. nov.",2021,tier2,,,,Ecological / Environmental Variables|Nuclear Gene Sequences|SNP Genotype Data|Whole Genome Sequence,,Marine Environment,Phylogeny Inference,,,,Ecological / Environmental Variables|Nuclear Gene Sequences|SNP Genotype Data|Whole Genome Sequence,Marine Environment,
https://openalex.org/W4295749382,Epistasis and Adaptation on Fitness Landscapes,2022,tier2,,,,Ecological / Environmental Variables|SNP Genotype Data,,,Adaptation Inference,,,,Ecological / Environmental Variables|SNP Genotype Data,,
https://openalex.org/W4224078476,Cryptic and abundant marine viruses at the evolutionary origins of Earth’s RNA virome,2022,tier1,,,,,,Marine Environment,Phylogeny Inference|Biogeography,,,,,Marine Environment,
https://openalex.org/W3195084458,Dynamic changes in genomic and social structures in third millennium BCE central Europe,2021,tier2,,,,,,,,,,,,,
https://openalex.org/W4310191493,An updated classification of cyanobacterial orders and families based on phylogenomic and polyphasic analysis,2022,tier1,,,,,,,Phylogeny Inference|Taxonomy (biology),,,,,,
https://openalex.org/W3092093148,Understanding 'Non-genetic' Inheritance: Insights from Molecular-Evolutionary Crosstalk,2020,tier2,,,,,,,,,,,,,
https://openalex.org/W4297996490,Divergent evolutionary trajectories of bryophytes and tracheophytes from a complex common ancestor of land plants,2022,tier1,,,,Ecological / Environmental Variables|Fossil Record,Plants,,Phylogeny Inference|Trait Evolution Analysis,,,Plants,Ecological / Environmental Variables|Fossil Record,,
https://openalex.org/W3082138732,Eighteen Coral Genomes Reveal the Evolutionary Origin of <i>Acropora</i> Strategies to Accommodate Environmental Changes,2020,tier2,,,dN/dS Analysis,Ecological / Environmental Variables,,Marine Environment,Adaptation Inference|Divergence Time Estimation,dN/dS Analysis,,,Ecological / Environmental Variables,Marine Environment,Selection Model
https://openalex.org/W3154626741,How does epigenetics influence the course of evolution?,2021,tier2,,,,Transcriptome (RNA-seq),Plants,,Trait Evolution Analysis,,,Plants,Transcriptome (RNA-seq),,
https://openalex.org/W3125813619,A framework for understanding gene expression plasticity and its influence on stress tolerance,2021,tier2,,,,Ecological / Environmental Variables|Transcriptome (RNA-seq),,,Adaptation Inference|Trait Evolution Analysis,,,,Ecological / Environmental Variables|Transcriptome (RNA-seq),,
https://openalex.org/W3111336046,Phylogenetic analysis of SARS-CoV-2 in Boston highlights the impact of superspreading events,2020,tier1,,,,Occurrence / Distribution Records,,,Phylogeny Inference,,,,Occurrence / Distribution Records,,
https://openalex.org/W3200103613,"GTDB: an ongoing census of bacterial and archaeal diversity through a phylogenetically consistent, rank normalized and complete genome-based taxonomy",2021,tier1,,,,,,,Phylogeny Inference,,,,,,
https://openalex.org/W3034734463,Insights into eukaryogenesis from the fossil record,2020,tier2,,,,Fossil Record|mtDNA,,,,,,,Fossil Record|mtDNA,,
https://openalex.org/W3145217038,Understanding the Origins of Loss of Protein Function by Analyzing the Effects of Thousands of Variants on Activity and Abundance,2021,tier2,,,,,,,Trait Evolution Analysis,,,,,,
https://openalex.org/W3128457606,Phylogenomics of Mycobacterium africanum reveals a new lineage and a complex evolutionary history,2021,tier1,,,,,,,Phylogeny Inference|Biogeography|Demographic History Inference,,,,Whole Genome Sequence,Tropical Region,
https://openalex.org/W3096084589,Full genome viral sequences inform patterns of SARS-CoV-2 spread into and within Israel,2020,tier2,,,,,,,Gene Flow Analysis,,,Virus,Whole Genome Sequence,,
https://openalex.org/W3016709954,Deeply conserved synteny resolves early events in vertebrate evolution,2020,tier1,,,,Fossil Record|Whole Genome Sequence,Invertebrates|Vertebrates,,Phylogeny Inference,,,Invertebrates|Vertebrates,Fossil Record|Whole Genome Sequence,,
https://openalex.org/W3099150310,When everything changes at once: finding a new normal after genome duplication,2020,tier1,,,,Whole Genome Sequence,Plants,,Adaptation Inference,,,Plants,Whole Genome Sequence,,
https://openalex.org/W3014059824,Global genome diversity of the Leishmania donovani complex,2020,tier2,,,,Whole Genome Sequence,,,Population Structure Analysis,,,,Whole Genome Sequence,,
https://openalex.org/W4367173653,Evolutionary constraint and innovation across hundreds of placental mammals,2023,tier2,,,,,Mammalia,,Comparative Methods|Selection Detection,,,Mammalia,,,
https://openalex.org/W3035336855,"Ancient genomes reveal complex patterns of population movement, interaction, and replacement in sub-Saharan Africa",2020,tier2,,,,,,,Demographic History Inference,,,,,Tropical Region,
https://openalex.org/W2997889425,Life-History Evolution and the Genetics of Fitness Components in<i>Drosophila melanogaster</i>,2020,tier1,,,,Ecological / Environmental Variables,Drosophila|Model Organisms,,Trait Evolution Analysis|Adaptation Inference,,,Drosophila|Model Organisms,Ecological / Environmental Variables,,
https://openalex.org/W3002583775,Building near-complete plant genomes,2020,tier2,,,,Transcriptome (RNA-seq),Plants,,,,,Plants,Transcriptome (RNA-seq),,
https://openalex.org/W3041243944,Asterid Phylogenomics/Phylotranscriptomics Uncover Morphological Evolutionary Histories and Support Phylogenetic Placement for Numerous Whole-Genome Duplications,2020,tier1,,,Phylogenetic Comparative Methods (PCM),Whole Genome Sequence,Angiosperms|Plants,,Phylogeny Inference|Divergence Time Estimation|Trait Evolution Analysis,Phylogenetic Comparative Methods (PCM),,Angiosperms|Plants,Whole Genome Sequence,,
https://openalex.org/W3014884007,MitoFinder: Efficient automated large‐scale extraction of mitogenomic data in target enrichment phylogenomics,2020,tier2,,,,Whole Genome Sequence|mtDNA,,,Phylogeny Inference,,,,Whole Genome Sequence|mtDNA,,
https://openalex.org/W3194717314,Ancient and modern genomes unravel the evolutionary history of the rhinoceros family,2021,tier1,,,,Fossil Record|Occurrence / Distribution Records|Whole Genome Sequence,,,Phylogeny Inference|Demographic History Inference,,,,Fossil Record|Occurrence / Distribution Records|Whole Genome Sequence,,
https://openalex.org/W4390705788,Elevated genetic risk for multiple sclerosis emerged in steppe pastoralist populations,2024,tier2,,,dN/dS Analysis,Ecological / Environmental Variables,,,Adaptation Inference|Demographic History Inference,dN/dS Analysis,,,Ecological / Environmental Variables,,Selection Model|Gene Flow Allowed
https://openalex.org/W4210660522,The importance of alternative splicing in adaptive evolution,2022,tier1,,,,Transcriptome (RNA-seq),Plants,,Adaptation Inference,,,Plants,Transcriptome (RNA-seq),,
https://openalex.org/W3098182612,A Phylodynamic Workflow to Rapidly Gain Insights into the Dispersal History and Dynamics of SARS-CoV-2 Lineages,2020,tier2,,,,,,,Biogeography|Phylogeny Inference,,,,,,
https://openalex.org/W3088464242,Thermal adaptation revisited: How conserved are thermal traits of reptiles and amphibians?,2020,tier1,,,,Behavioral Data|Ecological / Environmental Variables,Reptilia|Vertebrates,,Adaptation Inference|Trait Evolution Analysis,,,Reptilia|Vertebrates,Behavioral Data|Ecological / Environmental Variables,,
https://openalex.org/W4205408709,Green plant genomes: What we know in an era of rapidly expanding opportunities,2022,tier2,,,,Occurrence / Distribution Records,Plants,,,,,Plants,Occurrence / Distribution Records,,
https://openalex.org/W3047721483,Compartmentalization drives the evolution of symbiotic cooperation,2020,tier2,,,,,Insects|Plants,,,,,Insects|Plants,,,
https://openalex.org/W3130788486,Haplotype-resolved diverse human genomes and integrated analysis of structural variation,2021,tier2,,,,Transcriptome (RNA-seq)|Whole Genome Sequence,,,Population Structure Analysis,,,,Whole Genome Sequence,,
https://openalex.org/W3134169387,Extensive Genome-Wide Phylogenetic Discordance Is Due to Incomplete Lineage Sorting and Not Ongoing Introgression in a Rapidly Radiated Bryophyte Genus,2021,tier1,,,,Whole Genome Sequence,,,Phylogeny Inference|Hybridization / Introgression Detection,,,,Whole Genome Sequence,,Incomplete Lineage Sorting Considered|Gene Flow Allowed
https://openalex.org/W4294666709,What is reproductive isolation?,2022,tier1,,,,Occurrence / Distribution Records,,,,,,,,,Gene Flow Allowed
https://openalex.org/W4224943843,Phylogeny-Aware Analysis of Metagenome Community Ecology Based on Matched Reference Genomes while Bypassing Taxonomy,2022,tier2,STRUCTURE,,,,,,,,STRUCTURE,,,,
https://openalex.org/W3185309958,Testing genome skimming for species discrimination in the large and taxonomically difficult genus <i>Rhododendron</i>,2021,tier1,,,,,Plants,,Species Delimitation,,,Plants,,,
https://openalex.org/W3131947824,Transmission of SARS-CoV-2 in domestic cats imposes a narrow bottleneck,2021,tier2,,,dN/dS Analysis,,,,Adaptation Inference,dN/dS Analysis,,,,,Bottleneck Model|Selection Model
https://openalex.org/W4309233014,Cross-trait assortative mating is widespread and inflates genetic correlation estimates,2022,tier2,,,,Behavioral Data,,,Trait Evolution Analysis,,,,Behavioral Data,,
https://openalex.org/W3031702689,Ancient genome-wide DNA from France highlights the complexity of interactions between Mesolithic hunter-gatherers and Neolithic farmers,2020,tier2,,,,Whole Genome Sequence,,,,,,,Whole Genome Sequence,,
https://openalex.org/W3025295657,"Genomic Epidemiology, Evolution, and Transmission Dynamics of Porcine Deltacoronavirus",2020,tier1,,,dN/dS Analysis,,,,Phylogeny Inference|Adaptation Inference,dN/dS Analysis,,,,,Selection Model
https://openalex.org/W3108785720,The role of the microbiota in human genetic adaptation,2020,tier2,,,,Occurrence / Distribution Records,Mammalia,,Adaptation Inference,,,Mammalia,Occurrence / Distribution Records,,
https://openalex.org/W3098683386,Massive gene presence-absence variation shapes an open pan-genome in the Mediterranean mussel,2020,tier1,,,,Occurrence / Distribution Records|Whole Genome Sequence,,Marine Environment,,,,,Occurrence / Distribution Records|Whole Genome Sequence,Marine Environment,
https://openalex.org/W3158042772,The evolution of mammalian brain size,2021,tier2,,,,,,,Trait Evolution Analysis,,,,,,
