title,abstract,authors,keywords,year,language
Clinical Characteristics of Celiac Disease and Dietary Adherence to Gluten-Free Diet among Saudi Children | Clinical Characteristics of Celiac Disease and Dietary Adherence to Gluten-Free Diet among Saudi Children,"Purpose: To describe the clinical characteristics of celiac disease (CD) among Saudi children and to determine the adherence rate to gluten free diet (GFD) and its determinant factors among them.Methods: A cross-sectional study was conducted, in which all the families registered in the Saudi Celiac Patients Support Group were sent an online survey. Only families with children 18 years of age and younger with biopsy-con-firmed CD were included.Results: The median age of the 113 included children was 9.9 years, the median age at symptom onset was 5.5 years and the median age at diagnosis was 7 years, the median time between the presentation and the final diagnosis was 1 year. Sixty two of the involved children were females. Ninety two percent of the patients were symptomatic at the diagnosis while eight percent were asymptomatic. The commonest presenting symptoms included: chronic abdominal pain (59.3%), poor weight gain (54%), abdominal distention, gases, bloating (46.1%) and chronic diarrhea (41.6%). Sixty percent of the involved children were reported to be strictly adherent to GFD. Younger age at diagnosis and shorter duration since the diagnosis were associated with a better adherence rate. Conclusion: CD has similar clinical presentations among Saudi children compared to other parts of the ward; however, the adherence to GFD is relatively poor. Younger age at diagnosis and shorter duration since the diagnosis were associated with a better adherence rate. Purpose: To describe the clinical characteristics of celiac disease (CD) among Saudi children and to determine the adherence rate to gluten free diet (GFD) and its determinant factors among them.Methods: A cross-sectional study was conducted, in which all the families registered in the Saudi Celiac Patients Support Group were sent an online survey. Only families with children 18 years of age and younger with biopsy-con-firmed CD were included.Results: The median age of the 113 included children was 9.9 years, the median age at symptom onset was 5.5 years and the median age at diagnosis was 7 years, the median time between the presentation and the final diagnosis was 1 year. Sixty two of the involved children were females. Ninety two percent of the patients were symptomatic at the diagnosis while eight percent were asymptomatic. The commonest presenting symptoms included: chronic abdominal pain (59.3%), poor weight gain (54%), abdominal distention, gases, bloating (46.1%) and chronic diarrhea (41.6%). Sixty percent of the involved children were reported to be strictly adherent to GFD. Younger age at diagnosis and shorter duration since the diagnosis were associated with a better adherence rate. Conclusion: CD has similar clinical presentations among Saudi children compared to other parts of the ward; however, the adherence to GFD is relatively poor. Younger age at diagnosis and shorter duration since the diagnosis were associated with a better adherence rate.","Ahmed Al Sarkhy(King Khalid University Hospital, Riyadh, Saudi Arabia); Mohammad I. El Mouzan(King Khalid University Hospital, Riyadh, Saudi Arabia); Elshazaly Saeed(King Saud University, Riyadh, Saudi Arabia); Aziz Alanazi(National Guard Health Affairs, Riyadh, Saudi Arabia); Sharifa Alghamdi(King Faisal Specialist Hospital and Research Center, Jeddah, Saudi Arabia); Shirin Anil and Asaad Assiri(King Saud University, Riyadh, Saudi Arabia)",소아과학,2015-03,영어
Availability of Blood Urea Nitrogen/Creatinine Ratio in Gastrointestinal Bleeding with Melena in Children | Availability of Blood Urea Nitrogen/Creatinine Ratio in Gastrointestinal Bleeding with Melena in Children,"Purpose: The aims of our study were to evaluate the blood urea nitrogen to creatinine ratio (BUN/Cr ratio) for dis-tinguishing between an upper and lower gastrointestinal bleeding (GIB), and differentiating between the two most common causes of upper gastrointestinal bleeding (UGIB) presenting with melena in children.Methods: Retrospective data of patients with GIB presenting with melena were analyzed. The data from 60 cases were reviewed including demographics, laboratory findings, diagnostic modalities and results, treatments, and transfusions.Results: Among the 60 cases, UGIB and lower gastrointestinal bleeding (LGIB) were found in 35 cases (58.3%) and 14 cases (23.3%), respectively. The two common causes of UGIB were varices (37.1%), and peptic ulcer dis-eases (PUD) (31.4%). The BUN/Cr ratio of 30 or greater was higher in UGIB than LGIB (odds ratio [OR], 6.9; 95% confidence interval [95% CI], 1.3-37.2). In UGIB, the BUN/Cr ratio of the varices group was higher than that of the PUD group (p=0.015). The OR for the BUN/Cr ratio appeared as 1.2 per unit increase in the varices group than the PUD group (95% CI, 1.03-1.3). There was no difference between the PUD group and Meckel’s diverticulum group.Conclusion: The BUN/Cr ratio was not uneven in differentiating UGIB from LGIB of children with melena in our study. This suggests that BUN/Cr ratio should be interpreted carefully. Purpose: The aims of our study were to evaluate the blood urea nitrogen to creatinine ratio (BUN/Cr ratio) for dis-tinguishing between an upper and lower gastrointestinal bleeding (GIB), and differentiating between the two most common causes of upper gastrointestinal bleeding (UGIB) presenting with melena in children.Methods: Retrospective data of patients with GIB presenting with melena were analyzed. The data from 60 cases were reviewed including demographics, laboratory findings, diagnostic modalities and results, treatments, and transfusions.Results: Among the 60 cases, UGIB and lower gastrointestinal bleeding (LGIB) were found in 35 cases (58.3%) and 14 cases (23.3%), respectively. The two common causes of UGIB were varices (37.1%), and peptic ulcer dis-eases (PUD) (31.4%). The BUN/Cr ratio of 30 or greater was higher in UGIB than LGIB (odds ratio [OR], 6.9; 95% confidence interval [95% CI], 1.3-37.2). In UGIB, the BUN/Cr ratio of the varices group was higher than that of the PUD group (p=0.015). The OR for the BUN/Cr ratio appeared as 1.2 per unit increase in the varices group than the PUD group (95% CI, 1.03-1.3). There was no difference between the PUD group and Meckel’s diverticulum group.Conclusion: The BUN/Cr ratio was not uneven in differentiating UGIB from LGIB of children with melena in our study. This suggests that BUN/Cr ratio should be interpreted carefully.",Kyu Seon Kim(Chungnam National University); Chan Ho Kang(Chungnam National University); Jae Young Kim(Chungnam National University School of Medicine),소아과학,2015-03,영어
Liver Transplantation for Metabolic Liver Disease: Experience at a Living Donor Dominant Liver Transplantation Center | Liver Transplantation for Metabolic Liver Disease: Experience at a Living Donor Dominant Liver Transplantation Center,"Purpose: Metabolic liver disease (MLD) often progresses to life-threatening conditions. This study intends to describe the outcomes of liver transplantation (LTx) for MLD at a living donor-dominant transplantation center where potentially heterozygous carrier grafts are employed. Methods: We retrospectively evaluated the medical records of 54 patients with MLD who underwent LTx between November 1995 and February 2012 at Asan Medical Center in Seoul, Korea. The cumulative graft and patient survival rates were analyzed according to patient age, and living or deceased donor LTx. Recurrence of the original disease was also investigated.Results: The post-transplant cumulative patient survival rates at one, five, and 10 years were 90.7%, 87.5% and 87.5%, and the graft survival rates were 88.8%, 85.5%, and 85.5%, respectively. There were no differences in the patient survival rates according to the recipient age, human leukocyte antigen matching, and living or deceased donor LTx. There were also no differences in the patient survival rates between the MLD and the non-MLD groups for children. Recurrence of the original metabolic disease was not observed in any patient during the follow-up period.Conclusion: Our results suggest that the living donor-dominant transplantation program is well-tolerated in MLD with-out recurrence of the original MLD using all types of transplantation. Purpose: Metabolic liver disease (MLD) often progresses to life-threatening conditions. This study intends to describe the outcomes of liver transplantation (LTx) for MLD at a living donor-dominant transplantation center where potentially heterozygous carrier grafts are employed. Methods: We retrospectively evaluated the medical records of 54 patients with MLD who underwent LTx between November 1995 and February 2012 at Asan Medical Center in Seoul, Korea. The cumulative graft and patient survival rates were analyzed according to patient age, and living or deceased donor LTx. Recurrence of the original disease was also investigated.Results: The post-transplant cumulative patient survival rates at one, five, and 10 years were 90.7%, 87.5% and 87.5%, and the graft survival rates were 88.8%, 85.5%, and 85.5%, respectively. There were no differences in the patient survival rates according to the recipient age, human leukocyte antigen matching, and living or deceased donor LTx. There were also no differences in the patient survival rates between the MLD and the non-MLD groups for children. Recurrence of the original metabolic disease was not observed in any patient during the follow-up period.Conclusion: Our results suggest that the living donor-dominant transplantation program is well-tolerated in MLD with-out recurrence of the original MLD using all types of transplantation.",김준석(서울아산병원); 김경모(울산대학교); 오석희(울산대학교 의학과); 김현진(울산대학교); 조진민(울산대학교 의학과); 유한욱(울산대학교); 남궁정만(울산대학교); 김대연(아산어린이병원); 김기훈(울산대학교); 황신(울산대학교); 이승규(울산대학교),소아과학,2015-03,영어
Achalasia Previously Diagnosed as Gastroesophageal Reflux Disease by Relying on Esophageal Impedance-pH Monitoring: Use of High-Resolution Esophageal Manometry in Children | Achalasia Previously Diagnosed as Gastroesophageal Reflux Disease by Relying on Esophageal Impedance-pH Monitoring: Use of High-Resolution Esophageal Manometry in Children,"Gastroesophageal reflux disorder (GERD) is the most common esophageal disorder in children. Achalasia occurs less commonly but has similar symptoms to GERD. A nine-year old boy presented with vomiting, heartburn, and nocturnal cough. The esophageal impedance-pH monitor revealed nonacidic GERD (all-refluxate clearance percent time of 20.9%). His symptoms persisted despite medical treatment for GERD, and he was lost to follow up. Four years later, he presented with heartburn, solid-food dysphagia, daily post-prandial vomiting, and failure to thrive. Endoscopy showed a severely dilated esophagus with candidiasis. High-resolution manometry was performed, and he was diagnosed with classic achalasia (also known as type I). His symptoms resolved after two pneumatic dilatation procedures, and his weight and height began to catch up to his peers. Clinicians might consider using high-resolution manometry in children with atypical GERD even after evaluation with an impedance-pH monitor. Gastroesophageal reflux disorder (GERD) is the most common esophageal disorder in children. Achalasia occurs less commonly but has similar symptoms to GERD. A nine-year old boy presented with vomiting, heartburn, and nocturnal cough. The esophageal impedance-pH monitor revealed nonacidic GERD (all-refluxate clearance percent time of 20.9%). His symptoms persisted despite medical treatment for GERD, and he was lost to follow up. Four years later, he presented with heartburn, solid-food dysphagia, daily post-prandial vomiting, and failure to thrive. Endoscopy showed a severely dilated esophagus with candidiasis. High-resolution manometry was performed, and he was diagnosed with classic achalasia (also known as type I). His symptoms resolved after two pneumatic dilatation procedures, and his weight and height began to catch up to his peers. Clinicians might consider using high-resolution manometry in children with atypical GERD even after evaluation with an impedance-pH monitor.",Jung Eun Pyun(Korea University); Da Min Choi(Korea University); 이정화(고려대학교); Kee Hwan Yoo(Korea University Medical Center); 심정옥(고려대학교),소아과학,2015-03,영어
Nutritional State of Children in the Democratic People’s Republic of Korea (DPRK): Based on the DPRK Final Report ofthe National Nutrition Survey 2012 | Nutritional State of Children in the Democratic People’s Republic of Korea (DPRK): Based on the DPRK Final Report ofthe National Nutrition Survey 2012,"A nationwide nutrition survey began when the Democratic People’s Republic of Korea (DPRK) requested assistance from international relief organizations in 1997 due to flooding in 1995-1996, followed by the worsening food shortage peak in 1997. According to reported data for the 15 years since the active intervention and assistance from interna-tional societies, the malnutrition and mortality rates of children in the DPRK have improved. However, the prevalence of the stunting reported in the latest 2012 report is 27.9%, which is still a moderate−severe level, and worrisome in terms of international standards. In particular, the prevalence in Ryangangdo, which is regarded as the worst region in the DPRK, is 39.6%, which is a very high level of stunting. To alleviate such regional deviation will be a major task for future assistance. In addition, one cannot emphasize too highly the importance of early nutritional assistance for pregnant women and infants, considering that the recovery from stunted growth is low after two years of age, and the aftereffects would continue for the rest of their lives. A nationwide nutrition survey began when the Democratic People’s Republic of Korea (DPRK) requested assistance from international relief organizations in 1997 due to flooding in 1995-1996, followed by the worsening food shortage peak in 1997. According to reported data for the 15 years since the active intervention and assistance from interna-tional societies, the malnutrition and mortality rates of children in the DPRK have improved. However, the prevalence of the stunting reported in the latest 2012 report is 27.9%, which is still a moderate−severe level, and worrisome in terms of international standards. In particular, the prevalence in Ryangangdo, which is regarded as the worst region in the DPRK, is 39.6%, which is a very high level of stunting. To alleviate such regional deviation will be a major task for future assistance. In addition, one cannot emphasize too highly the importance of early nutritional assistance for pregnant women and infants, considering that the recovery from stunted growth is low after two years of age, and the aftereffects would continue for the rest of their lives.",김정은(신천연합병원),소아과학,2014-09,영어
"High Incidence of Staphylococcus aureus and Norovirus Gastroenteritis in Infancy: A Single-Center, 1-Year Experience | High Incidence of Staphylococcus aureus and Norovirus Gastroenteritis in Infancy: A Single-Center, 1-Year Experience","Purpose: The etiology of acute gastroenteritis (AGE) has changed since the introduction of the rotavirus vaccination.
The aim of this study was to clarify which common pathogens, both bacterial and viral, are currently causing AGE in infants.
Methods: Infants with acute diarrhea were enrolled. We tested for 10 bacterial pathogens and five viral pathogens in stool specimens collected from infants with AGE. The clinical symptoms such as vomiting, mucoid or bloody diarrhea, dehydration, irritability, and poor oral intake were recorded, and laboratory data such as white blood cell count and C-reactive protein were collected. The clinical and laboratory data for the cases with bacterial pathogens and the cases with viral pathogens were compared.
Results: Of 41 total infants, 21 (51.2%) were positive for at least one pathogen. Seventeen cases (41.5%) were positive for bacterial pathogens and seven cases (17.1%) were positive for viral pathogens. Staphylococcus aureus (13 cases, 31.7%) and Clostridium perfringens (four cases, 9.8%) were common bacterial pathogens. Norovirus (five cases, 12.2%) was the most common viral pathogen. Fever and respiratory symptoms were common in the isolated viral infection group (p=0.023 and 0.044, respectively), whereas other clinical and laboratory data were indistinguishable between the groups.
Conclusion: In our study, S. aureus (41.5%) and norovirus (12.2%) were the most common bacterial and viral pathogens, respectively, among infants with AGE. Purpose: The etiology of acute gastroenteritis (AGE) has changed since the introduction of the rotavirus vaccination.
The aim of this study was to clarify which common pathogens, both bacterial and viral, are currently causing AGE in infants.
Methods: Infants with acute diarrhea were enrolled. We tested for 10 bacterial pathogens and five viral pathogens in stool specimens collected from infants with AGE. The clinical symptoms such as vomiting, mucoid or bloody diarrhea, dehydration, irritability, and poor oral intake were recorded, and laboratory data such as white blood cell count and C-reactive protein were collected. The clinical and laboratory data for the cases with bacterial pathogens and the cases with viral pathogens were compared.
Results: Of 41 total infants, 21 (51.2%) were positive for at least one pathogen. Seventeen cases (41.5%) were positive for bacterial pathogens and seven cases (17.1%) were positive for viral pathogens. Staphylococcus aureus (13 cases, 31.7%) and Clostridium perfringens (four cases, 9.8%) were common bacterial pathogens. Norovirus (five cases, 12.2%) was the most common viral pathogen. Fever and respiratory symptoms were common in the isolated viral infection group (p=0.023 and 0.044, respectively), whereas other clinical and laboratory data were indistinguishable between the groups.
Conclusion: In our study, S. aureus (41.5%) and norovirus (12.2%) were the most common bacterial and viral pathogens, respectively, among infants with AGE.",성경(부산대학교); 김지용(부산대학교); 이연주(부산대학교); 황은하(부산대학교 의학전문대학원 소아청소년과학교실); 박재홍(부산대학교),소아과학,2014-09,영어
Gender Differences in Paediatric Patients of the Swiss Inflammatory Bowel Disease Cohort Study | Gender Differences in Paediatric Patients of the Swiss Inflammatory Bowel Disease Cohort Study,"Purpose: Gender differences in paediatric patients with inflammatory bowel disease (IBD) are frequently reported as a secondary outcome and the results are divergent. To assess gender differences by analysing data collected within the Swiss IBD cohort study database since 2008, related to children with IBD, using the Montreal classification for a systematic approach.
Methods: Data on gender, age, anthropometrics, disease location at diagnosis, disease behaviour, and therapy of 196 patients, 105 with Crohn’s disease (CD) and 91 with ulcerative or indeterminate colitis (UC/IC) were retrieved and analysed.
Results: The crude gender ratio (male : female) of patients with CD diagnosed at ＜10 years of age was 2.57, the adjusted ratio was 2.42, and in patients with UC/IC it was 0.68 and 0.64 respectively. The non-adjusted gender ratio of patients diagnosed at ≥10 years was 1.58 for CD and 0.88 for UC/IC. Boys with UC/IC diagnosed ＜10 years of age had a longer diagnostic delay, and in girls diagnosed with UC/IC ＞10 years a more important use of azathioprine was observed. No other gender difference was found after analysis of age, disease location and behaviour at diagnosis, duration of disease, familial occurrence of IBD, prevalence of extra-intestinal manifestations, complications, and requirement for surgery.
Conclusion: CD in children ＜10 years affects predominantly boys with a sex ratio of 2.57; the impact of sex-hormones on the development of CD in pre-pubertal male patients should be investigated. Purpose: Gender differences in paediatric patients with inflammatory bowel disease (IBD) are frequently reported as a secondary outcome and the results are divergent. To assess gender differences by analysing data collected within the Swiss IBD cohort study database since 2008, related to children with IBD, using the Montreal classification for a systematic approach.
Methods: Data on gender, age, anthropometrics, disease location at diagnosis, disease behaviour, and therapy of 196 patients, 105 with Crohn’s disease (CD) and 91 with ulcerative or indeterminate colitis (UC/IC) were retrieved and analysed.
Results: The crude gender ratio (male : female) of patients with CD diagnosed at ＜10 years of age was 2.57, the adjusted ratio was 2.42, and in patients with UC/IC it was 0.68 and 0.64 respectively. The non-adjusted gender ratio of patients diagnosed at ≥10 years was 1.58 for CD and 0.88 for UC/IC. Boys with UC/IC diagnosed ＜10 years of age had a longer diagnostic delay, and in girls diagnosed with UC/IC ＞10 years a more important use of azathioprine was observed. No other gender difference was found after analysis of age, disease location and behaviour at diagnosis, duration of disease, familial occurrence of IBD, prevalence of extra-intestinal manifestations, complications, and requirement for surgery.
Conclusion: CD in children ＜10 years affects predominantly boys with a sex ratio of 2.57; the impact of sex-hormones on the development of CD in pre-pubertal male patients should be investigated.","Denise Herzog(Division of Gastroenterology, Department of Paedia); Patrick Buehr(University Children’s Hospital Zurich); Rebekka Koller(University Children’s Hospital Zurich); Vanessa Rueger(University Children’s Hospital Zurich); Klaas Heyland(University Children’s Hospital Zurich); Andreas Nydegger(University Children’s Hospital of Lausanne); Johannes Spalinger(Children’s Hospital of Lucerne); Susanne Schibli(University Children’s Hospital of Bern); Christian P. Braegger(University Children’s Hospital Zurich); The Swiss IBD Cohort Study Group (The Swiss IBD Cohort Study Group)",소아과학,2014-09,영어
Clinical Characteristics of Pediatric Constipation in South Jordan | Clinical Characteristics of Pediatric Constipation in South Jordan,"Purpose: Constipation is a common pediatric problem worldwide. This study aims to describe the clinical characteristics of pediatric constipation in south Jordan according to gender and age group.
Methods: All patients with constipation managed at our pediatric gastroenterology service between September 2009 and December 2012 were included. Hospital charts were reviewed. Demographic data, clinical characteristics, and final diagnosis were recorded. Data were analyzed according to gender and the following age groups: infants, pre-school, school age, and adolescents.
Results: During the study period, 126 patients were enrolled. The number (percentage) of patients according to age were the following infants: 43 (34.1%), pre-school: 55 (43.7%), school age: 25 (19.8%), and adolescents: 3 (2.4%).
Males made up 54.8% of the study population. There were no statistical gender differences in any age group. The most common symptom in all age groups was dry, hard stool. Infrequent defecation was found in almost one-half of the patients. Fecal incontinence was more common in school-aged children compared to pre-school-aged children and adolescents. Abdominal pain was seen in almost 40% of the constipated children. Abdominal pain was more prevalent in girls and older children. Fecal mass in the rectum was the most common physical finding, with constipated boys exhibiting higher rates. Functional constipation was the most common etiology.
Conclusion: Clinical characteristics of constipation in children vary according to age group and gender. Older children had less frequent bowel motions, a longer duration of symptoms, and a higher prevalence of long-standing constipation compilations (fecal incontinence and abdominal pain). Purpose: Constipation is a common pediatric problem worldwide. This study aims to describe the clinical characteristics of pediatric constipation in south Jordan according to gender and age group.
Methods: All patients with constipation managed at our pediatric gastroenterology service between September 2009 and December 2012 were included. Hospital charts were reviewed. Demographic data, clinical characteristics, and final diagnosis were recorded. Data were analyzed according to gender and the following age groups: infants, pre-school, school age, and adolescents.
Results: During the study period, 126 patients were enrolled. The number (percentage) of patients according to age were the following infants: 43 (34.1%), pre-school: 55 (43.7%), school age: 25 (19.8%), and adolescents: 3 (2.4%).
Males made up 54.8% of the study population. There were no statistical gender differences in any age group. The most common symptom in all age groups was dry, hard stool. Infrequent defecation was found in almost one-half of the patients. Fecal incontinence was more common in school-aged children compared to pre-school-aged children and adolescents. Abdominal pain was seen in almost 40% of the constipated children. Abdominal pain was more prevalent in girls and older children. Fecal mass in the rectum was the most common physical finding, with constipated boys exhibiting higher rates. Functional constipation was the most common etiology.
Conclusion: Clinical characteristics of constipation in children vary according to age group and gender. Older children had less frequent bowel motions, a longer duration of symptoms, and a higher prevalence of long-standing constipation compilations (fecal incontinence and abdominal pain).",Eyad Altamimi(Mu`tah University),소아과학,2014-09,영어
Serum Liver Enzyme Pattern in Birth Asphyxia Associated Liver Injury | Serum Liver Enzyme Pattern in Birth Asphyxia Associated Liver Injury,"Purpose: To study temporal pattern of serum liver enzymes levels in newborns with hepatic injury associated with birth asphyxia (BA).
Methods: Singleton term newborns with BA and ≤72 hours of age admitted to neonatal intensive care unit were prospectively enrolled. Term newborns with physiological jaundice and without BA were studied as controls. Serum liver enzymes were measured at ＜24 hours, 24-72 hours, and at 6-12 days of age for cases and at 1-6 days of age for controls. BA was defined by 1 minute Apgar score ＜7 or delayed or absent cry with hypoxic ischemic encephalopathy. BA-associated liver injury was defined as serum alanine aminotransferase (ALT) elevation beyond +2 standard deviation (ALT > +2 SD) above the mean of control subjects at any of the three time points.
Results: Sixty controls and 62 cases were enrolled. Thirty-five cases (56%) developed BA-associated liver injury (ALT＞81 IU/L). They had higher serum levels of ALT, aspartate aminotransferase, lactate dehydrogenase than the control infants, with peak at 24-72 hours. In controls, serum liver enzyme levels were significantly higher in appropriate- for-date (AFD) babies than small-for-date (SFD) babies. Serum enzyme pattern and extent of elevation were comparable between SFD and AFD babies. Degree of serum liver enzyme elevation had no relationship with severity of hypoxic encephalopathy.
Conclusion: Serum liver enzyme elevation is common in BA; it peaks at 24-72 hours followed by a sharp decline by 6-12 days of age. Pattern and extent of enzyme elevation are comparable between SFD and AFD babies. Purpose: To study temporal pattern of serum liver enzymes levels in newborns with hepatic injury associated with birth asphyxia (BA).
Methods: Singleton term newborns with BA and ≤72 hours of age admitted to neonatal intensive care unit were prospectively enrolled. Term newborns with physiological jaundice and without BA were studied as controls. Serum liver enzymes were measured at ＜24 hours, 24-72 hours, and at 6-12 days of age for cases and at 1-6 days of age for controls. BA was defined by 1 minute Apgar score ＜7 or delayed or absent cry with hypoxic ischemic encephalopathy. BA-associated liver injury was defined as serum alanine aminotransferase (ALT) elevation beyond +2 standard deviation (ALT > +2 SD) above the mean of control subjects at any of the three time points.
Results: Sixty controls and 62 cases were enrolled. Thirty-five cases (56%) developed BA-associated liver injury (ALT＞81 IU/L). They had higher serum levels of ALT, aspartate aminotransferase, lactate dehydrogenase than the control infants, with peak at 24-72 hours. In controls, serum liver enzyme levels were significantly higher in appropriate- for-date (AFD) babies than small-for-date (SFD) babies. Serum enzyme pattern and extent of elevation were comparable between SFD and AFD babies. Degree of serum liver enzyme elevation had no relationship with severity of hypoxic encephalopathy.
Conclusion: Serum liver enzyme elevation is common in BA; it peaks at 24-72 hours followed by a sharp decline by 6-12 days of age. Pattern and extent of enzyme elevation are comparable between SFD and AFD babies.",Nanda Chhavi(Vivekananda Polyclinic and Institute of Medical Sciences); Kiran Zutshi(Vivekananda Polyclinic and Institute of Medical Sciences); Niranjan Kumar Singh(Vivekananda Polyclinic and Institute of Medical Sciences); Ashish Awasthi(Sanjay Gandhi Postgraduate Institute of Medical Sciences); Amit Goel(Sanjay Gandhi Postgraduate Institute of Medical Sciences),소아과학,2014-09,영어
Relationship between Anomalous Pancreaticobiliary Ductal Union and Pathologic Inflammation of Bile Duct in Choledochal Cyst | Relationship between Anomalous Pancreaticobiliary Ductal Union and Pathologic Inflammation of Bile Duct in Choledochal Cyst,"Purpose: Choledochal cyst is a cystic dilatation of common bile duct. Although the etiology is presently uncertain, anomalous pancreaticobiliary ductal union (APBDU) is thought to be a major etiology of choledochal cyst. In this study, we analyzed the clinical and anatomical characteristics and pathologies of patients diagnosed with chol-edochal cyst in a single institute for 25 years.Methods: A total of 113 patients, diagnosed with choledochal cyst and who received an operation in Severance Children’s Hospital from January 1988 to May 2013, were included. Medical records were reviewed, including clinical and demographic data, surgical procedures. Abdominal ultrasonography, magnetic resonance cholangiopancreatog-raphy, and intraoperative cholangiography were used as diagnostic tools for evaluation and classification of chol-edochal cyst and the presence of anomalous pancreaticobiliary ductal union. Todani’s classification, and relationship between APBDU and surgical pathology.Results: Among 113 patients, 77 patients (68.1%) presented symptoms such as hepatitis, pancreatitis and/or cholecystitis. Eighty three patients (73.5%) had APBDU, and 94 patients (83.2%) showed inflammatory pathologic changes. APBDU, pathologic inflammation, and serological abnormalities such as hepatitis or pancreatitis showed a statistically significant correlation to one another.Conclusion: APBDU is thought to be one of the etiologic factors of choledochal cyst. It is related to the inflammatory changes in bile duct that can lead to the cystic dilatation. Purpose: Choledochal cyst is a cystic dilatation of common bile duct. Although the etiology is presently uncertain, anomalous pancreaticobiliary ductal union (APBDU) is thought to be a major etiology of choledochal cyst. In this study, we analyzed the clinical and anatomical characteristics and pathologies of patients diagnosed with chol-edochal cyst in a single institute for 25 years.Methods: A total of 113 patients, diagnosed with choledochal cyst and who received an operation in Severance Children’s Hospital from January 1988 to May 2013, were included. Medical records were reviewed, including clinical and demographic data, surgical procedures. Abdominal ultrasonography, magnetic resonance cholangiopancreatog-raphy, and intraoperative cholangiography were used as diagnostic tools for evaluation and classification of chol-edochal cyst and the presence of anomalous pancreaticobiliary ductal union. Todani’s classification, and relationship between APBDU and surgical pathology.Results: Among 113 patients, 77 patients (68.1%) presented symptoms such as hepatitis, pancreatitis and/or cholecystitis. Eighty three patients (73.5%) had APBDU, and 94 patients (83.2%) showed inflammatory pathologic changes. APBDU, pathologic inflammation, and serological abnormalities such as hepatitis or pancreatitis showed a statistically significant correlation to one another.Conclusion: APBDU is thought to be one of the etiologic factors of choledochal cyst. It is related to the inflammatory changes in bile duct that can lead to the cystic dilatation.",박소원(연세대학교); 고홍(연세대학교); 오정탁(연세대학교); 한석주(연세대학교); 김승(연세의료원),소아과학,2014-09,영어
The Status of Dietary Supplements Intake in Korean Preschool Children: Data from the Korea National Health and Nutrition Examination Survey 2010-2012 | The Status of Dietary Supplements Intake in Korean Preschool Children: Data from the Korea National Health and Nutrition Examination Survey 2010-2012,"Purpose: The use of dietary supplements (DS) has increased in most nations. We investigated the amount of DS intake in the Korean population by analyzing a national survey, to support the preparation of a national institutional strategy regarding DS intake and marketing.
Methods: The data of the fifth Korea National Health and Nutrition Examination Survey (a year between 2010 and 2012) were investigated, analyzing the rate of DS intake, and the characteristics of the intake group and non-intake group in Korean preschool children.
Results: The intake rate of DS was 49.0-54.2% (1,313,874-1,491,240) and 19.6-30.3% (250,603-421,922) in children from 1 to 6 years old and in those less than 1 year, respectively, from 2010 to 2012. The highest intake rate was observed in the age group of five. The mean age was significantly higher in the DS intake group than in the non-intake group. Intake of essential nutrients, minerals, and vitamins were also higher in the DS intake group. The level of family income was significantly associated with the intake rate (p＜0.001). In children less than 1 year, probiotics accounted for the highest intake of DS.
Conclusion: Korean preschool children have high consumption of DS. Therefore, problems may arise from the waste of money purchasing unnecessary DS, and from the overuse of DS in preschoolers who do not require DS intake.
We hope these results can be used to produce an appropriate national institutional strategy regarding DS intake and marketing. Purpose: The use of dietary supplements (DS) has increased in most nations. We investigated the amount of DS intake in the Korean population by analyzing a national survey, to support the preparation of a national institutional strategy regarding DS intake and marketing.
Methods: The data of the fifth Korea National Health and Nutrition Examination Survey (a year between 2010 and 2012) were investigated, analyzing the rate of DS intake, and the characteristics of the intake group and non-intake group in Korean preschool children.
Results: The intake rate of DS was 49.0-54.2% (1,313,874-1,491,240) and 19.6-30.3% (250,603-421,922) in children from 1 to 6 years old and in those less than 1 year, respectively, from 2010 to 2012. The highest intake rate was observed in the age group of five. The mean age was significantly higher in the DS intake group than in the non-intake group. Intake of essential nutrients, minerals, and vitamins were also higher in the DS intake group. The level of family income was significantly associated with the intake rate (p＜0.001). In children less than 1 year, probiotics accounted for the highest intake of DS.
Conclusion: Korean preschool children have high consumption of DS. Therefore, problems may arise from the waste of money purchasing unnecessary DS, and from the overuse of DS in preschoolers who do not require DS intake.
We hope these results can be used to produce an appropriate national institutional strategy regarding DS intake and marketing.",강동수(단국대학교 의과대학 소아청소년과학교실); 이건송(단국대학교),소아과학,2014-09,영어
